"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","84736","Login, send message with image, and verify in inbox","","2026-09-15","passed","2026-09-15","","SMSPy UI End-to-End Flows","Login, send message with image, and verify in inbox",""
"","77816","Login and send simple text message","","2026-09-15","passed","2026-09-15","","SMSPy UI End-to-End Flows","Login and send simple text message",""
"","48405","Update profile avatar via UI","","2026-09-15","passed","2026-09-15","","SMSPy UI End-to-End Flows","Update profile avatar via UI",""
"","181043","Login with all live users from database","","2026-09-15","passed","2026-09-15","","Real App API Authentication","Login with all live users from database",""
