"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","150438","Login with all live users from database","","Tue Apr 14 08:48:16 UTC 2026","passed","Tue Apr 14 08:50:47 UTC 2026","","Real App API Authentication","Login with all live users from database",""
"","36555","Update profile avatar via UI","","Tue Apr 14 08:50:51 UTC 2026","passed","Tue Apr 14 08:51:28 UTC 2026","","SMSPy UI End-to-End Flows","Update profile avatar via UI",""
"","55500","Login, send message with image, and verify in inbox","","Tue Apr 14 08:50:51 UTC 2026","passed","Tue Apr 14 08:51:47 UTC 2026","","SMSPy UI End-to-End Flows","Login, send message with image, and verify in inbox",""
"","49188","Login and send simple text message","","Tue Apr 14 08:50:51 UTC 2026","passed","Tue Apr 14 08:51:41 UTC 2026","","SMSPy UI End-to-End Flows","Login and send simple text message",""
