"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","48576","Login, send message with image, and verify in inbox","","Wed Apr 22 08:55:12 UTC 2026","passed","Wed Apr 22 08:56:00 UTC 2026","","SMSPy UI End-to-End Flows","Login, send message with image, and verify in inbox",""
"","141541","Login with all live users from database","","Wed Apr 22 08:52:46 UTC 2026","passed","Wed Apr 22 08:55:07 UTC 2026","","Real App API Authentication","Login with all live users from database",""
"","30798","Update profile avatar via UI","","Wed Apr 22 08:55:12 UTC 2026","passed","Wed Apr 22 08:55:42 UTC 2026","","SMSPy UI End-to-End Flows","Update profile avatar via UI",""
"","43709","Login and send simple text message","","Wed Apr 22 08:55:12 UTC 2026","passed","Wed Apr 22 08:55:55 UTC 2026","","SMSPy UI End-to-End Flows","Login and send simple text message",""
