"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","48194","Update profile avatar via UI","","2026-08-26","passed","2026-08-26","","SMSPy UI End-to-End Flows","Update profile avatar via UI",""
"","67853","Login, send message with image, and verify in inbox","","2026-08-26","passed","2026-08-26","","SMSPy UI End-to-End Flows","Login, send message with image, and verify in inbox",""
"","190101","Login with all live users from database","","2026-08-26","passed","2026-08-26","","Real App API Authentication","Login with all live users from database",""
"","43968","Login and send simple text message","","2026-08-26","broken","2026-08-26","","SMSPy UI End-to-End Flows","Login and send simple text message",""
