"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","150946","Login with all live users from database","","Tue Mar 31 08:12:51 UTC 2026","passed","Tue Mar 31 08:15:22 UTC 2026","","Real App API Authentication","Login with all live users from database",""
"","46859","Login and send simple text message","","Tue Mar 31 08:15:27 UTC 2026","passed","Tue Mar 31 08:16:14 UTC 2026","","SMSPy UI End-to-End Flows","Login and send simple text message",""
"","33593","Update profile avatar via UI","","Tue Mar 31 08:15:27 UTC 2026","passed","Tue Mar 31 08:16:01 UTC 2026","","SMSPy UI End-to-End Flows","Update profile avatar via UI",""
"","45136","Login, send message with image, and verify in inbox","","Tue Mar 31 08:15:27 UTC 2026","passed","Tue Mar 31 08:16:12 UTC 2026","","SMSPy UI End-to-End Flows","Login, send message with image, and verify in inbox",""
