"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","33387","Update profile avatar via UI","","Tue Mar 17 08:01:17 UTC 2026","passed","Tue Mar 17 08:01:51 UTC 2026","","SMSPy UI End-to-End Flows","Update profile avatar via UI",""
"","45075","Login, send message with image, and verify in inbox","","Tue Mar 17 08:01:17 UTC 2026","passed","Tue Mar 17 08:02:03 UTC 2026","","SMSPy UI End-to-End Flows","Login, send message with image, and verify in inbox",""
"","43788","Login and send simple text message","","Tue Mar 17 08:01:17 UTC 2026","passed","Tue Mar 17 08:02:01 UTC 2026","","SMSPy UI End-to-End Flows","Login and send simple text message",""
"","154372","Login with all live users from database","","Tue Mar 17 07:58:38 UTC 2026","passed","Tue Mar 17 08:01:13 UTC 2026","","Real App API Authentication","Login with all live users from database",""
