"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","43938","Login, send message with image, and verify in inbox","","Sun Mar 15 07:53:55 UTC 2026","passed","Sun Mar 15 07:54:39 UTC 2026","","SMSPy UI End-to-End Flows","Login, send message with image, and verify in inbox",""
"","33764","Update profile avatar via UI","","Sun Mar 15 07:53:55 UTC 2026","passed","Sun Mar 15 07:54:28 UTC 2026","","SMSPy UI End-to-End Flows","Update profile avatar via UI",""
"","186079","Login with all live users from database","","Sun Mar 15 07:50:44 UTC 2026","passed","Sun Mar 15 07:53:50 UTC 2026","","Real App API Authentication","Login with all live users from database",""
"","45424","Login and send simple text message","","Sun Mar 15 07:53:55 UTC 2026","passed","Sun Mar 15 07:54:40 UTC 2026","","SMSPy UI End-to-End Flows","Login and send simple text message",""
