"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","34926","Login, send message with image, and verify in inbox","","Mon Mar 02 07:55:41 UTC 2026","passed","Mon Mar 02 07:56:16 UTC 2026","","SMSPy UI End-to-End Flows","Login, send message with image, and verify in inbox",""
"","29245","Update profile avatar via UI","","Mon Mar 02 07:55:41 UTC 2026","passed","Mon Mar 02 07:56:10 UTC 2026","","SMSPy UI End-to-End Flows","Update profile avatar via UI",""
"","142123","Login with all live users from database","","Mon Mar 02 07:53:15 UTC 2026","passed","Mon Mar 02 07:55:37 UTC 2026","","Real App API Authentication","Login with all live users from database",""
"","38203","Login and send simple text message","","Mon Mar 02 07:55:41 UTC 2026","passed","Mon Mar 02 07:56:19 UTC 2026","","SMSPy UI End-to-End Flows","Login and send simple text message",""
