"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","55251","Login, send message with image, and verify in inbox","","Mon Apr 13 09:08:50 UTC 2026","passed","Mon Apr 13 09:09:46 UTC 2026","","SMSPy UI End-to-End Flows","Login, send message with image, and verify in inbox",""
"","52679","Login and send simple text message","","Mon Apr 13 09:08:50 UTC 2026","passed","Mon Apr 13 09:09:43 UTC 2026","","SMSPy UI End-to-End Flows","Login and send simple text message",""
"","151570","Login with all live users from database","","Mon Apr 13 09:06:14 UTC 2026","passed","Mon Apr 13 09:08:46 UTC 2026","","Real App API Authentication","Login with all live users from database",""
"","36364","Update profile avatar via UI","","Mon Apr 13 09:08:50 UTC 2026","passed","Mon Apr 13 09:09:27 UTC 2026","","SMSPy UI End-to-End Flows","Update profile avatar via UI",""
