"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","75586","Login and send simple text message","","2026-08-28","passed","2026-08-28","","SMSPy UI End-to-End Flows","Login and send simple text message",""
"","46907","Update profile avatar via UI","","2026-08-28","passed","2026-08-28","","SMSPy UI End-to-End Flows","Update profile avatar via UI",""
"","190429","Login with all live users from database","","2026-08-28","passed","2026-08-28","","Real App API Authentication","Login with all live users from database",""
"","103301","Login, send message with image, and verify in inbox","","2026-08-28","failed","2026-08-28","","SMSPy UI End-to-End Flows","Login, send message with image, and verify in inbox",""
