"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","80922","Login, send message with image, and verify in inbox","","2026-08-25","passed","2026-08-25","","SMSPy UI End-to-End Flows","Login, send message with image, and verify in inbox",""
"","71757","Login and send simple text message","","2026-08-25","passed","2026-08-25","","SMSPy UI End-to-End Flows","Login and send simple text message",""
"","41762","Update profile avatar via UI","","2026-08-25","passed","2026-08-25","","SMSPy UI End-to-End Flows","Update profile avatar via UI",""
"","173536","Login with all live users from database","","2026-08-25","passed","2026-08-25","","Real App API Authentication","Login with all live users from database",""
