"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","49102","Login and send simple text message","","Thu Apr 16 08:52:40 UTC 2026","passed","Thu Apr 16 08:53:29 UTC 2026","","SMSPy UI End-to-End Flows","Login and send simple text message",""
"","34205","Update profile avatar via UI","","Thu Apr 16 08:52:40 UTC 2026","passed","Thu Apr 16 08:53:14 UTC 2026","","SMSPy UI End-to-End Flows","Update profile avatar via UI",""
"","153467","Login with all live users from database","","Thu Apr 16 08:50:02 UTC 2026","passed","Thu Apr 16 08:52:36 UTC 2026","","Real App API Authentication","Login with all live users from database",""
"","46787","Login, send message with image, and verify in inbox","","Thu Apr 16 08:52:40 UTC 2026","passed","Thu Apr 16 08:53:27 UTC 2026","","SMSPy UI End-to-End Flows","Login, send message with image, and verify in inbox",""
