"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","48896","Update profile avatar via UI","","2026-08-27","passed","2026-08-27","","SMSPy UI End-to-End Flows","Update profile avatar via UI",""
"","48595","Login, send message with image, and verify in inbox","","2026-08-27","broken","2026-08-27","","SMSPy UI End-to-End Flows","Login, send message with image, and verify in inbox",""
"","140882","Login with all live users from database","","2026-08-27","passed","2026-08-27","","Real App API Authentication","Login with all live users from database",""
"","66617","Login and send simple text message","","2026-08-27","passed","2026-08-27","","SMSPy UI End-to-End Flows","Login and send simple text message",""
