"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","46460","Login, send message with image, and verify in inbox","","2026-08-17","broken","2026-08-17","","SMSPy UI End-to-End Flows","Login, send message with image, and verify in inbox",""
"","49826","Update profile avatar via UI","","2026-08-17","passed","2026-08-17","","SMSPy UI End-to-End Flows","Update profile avatar via UI",""
"","69086","Login and send simple text message","","2026-08-17","passed","2026-08-17","","SMSPy UI End-to-End Flows","Login and send simple text message",""
"","147696","Login with all live users from database","","2026-08-17","passed","2026-08-17","","Real App API Authentication","Login with all live users from database",""
