"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","137280","Login with all live users from database","","Sun Mar 08 07:36:52 UTC 2026","passed","Sun Mar 08 07:39:10 UTC 2026","","Real App API Authentication","Login with all live users from database",""
"","31607","Update profile avatar via UI","","Sun Mar 08 07:39:14 UTC 2026","passed","Sun Mar 08 07:39:46 UTC 2026","","SMSPy UI End-to-End Flows","Update profile avatar via UI",""
"","42431","Login and send simple text message","","Sun Mar 08 07:39:14 UTC 2026","passed","Sun Mar 08 07:39:57 UTC 2026","","SMSPy UI End-to-End Flows","Login and send simple text message",""
"","41245","Login, send message with image, and verify in inbox","","Sun Mar 08 07:39:14 UTC 2026","passed","Sun Mar 08 07:39:55 UTC 2026","","SMSPy UI End-to-End Flows","Login, send message with image, and verify in inbox",""
