"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","70597","Login and send simple text message","","2026-08-29","passed","2026-08-29","","SMSPy UI End-to-End Flows","Login and send simple text message",""
"","42232","Update profile avatar via UI","","2026-08-29","passed","2026-08-29","","SMSPy UI End-to-End Flows","Update profile avatar via UI",""
"","79323","Login, send message with image, and verify in inbox","","2026-08-29","passed","2026-08-29","","SMSPy UI End-to-End Flows","Login, send message with image, and verify in inbox",""
"","157578","Login with all live users from database","","2026-08-29","passed","2026-08-29","","Real App API Authentication","Login with all live users from database",""
