"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","142011","Login with all live users from database","","Sat Apr 18 08:02:37 UTC 2026","passed","Sat Apr 18 08:04:59 UTC 2026","","Real App API Authentication","Login with all live users from database",""
"","46370","Login, send message with image, and verify in inbox","","Sat Apr 18 08:05:03 UTC 2026","passed","Sat Apr 18 08:05:50 UTC 2026","","SMSPy UI End-to-End Flows","Login, send message with image, and verify in inbox",""
"","31934","Update profile avatar via UI","","Sat Apr 18 08:05:03 UTC 2026","passed","Sat Apr 18 08:05:35 UTC 2026","","SMSPy UI End-to-End Flows","Update profile avatar via UI",""
"","48576","Login and send simple text message","","Sat Apr 18 08:05:03 UTC 2026","passed","Sat Apr 18 08:05:52 UTC 2026","","SMSPy UI End-to-End Flows","Login and send simple text message",""
