"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","164722","Login with all live users from database","","Thu May 14 09:38:33 UTC 2026","passed","Thu May 14 09:41:17 UTC 2026","","Real App API Authentication","Login with all live users from database",""
"","58108","Login, send message with image, and verify in inbox","","Thu May 14 09:41:22 UTC 2026","passed","Thu May 14 09:42:21 UTC 2026","","SMSPy UI End-to-End Flows","Login, send message with image, and verify in inbox",""
"","55266","Login and send simple text message","","Thu May 14 09:41:22 UTC 2026","passed","Thu May 14 09:42:18 UTC 2026","","SMSPy UI End-to-End Flows","Login and send simple text message",""
"","39235","Update profile avatar via UI","","Thu May 14 09:41:22 UTC 2026","passed","Thu May 14 09:42:02 UTC 2026","","SMSPy UI End-to-End Flows","Update profile avatar via UI",""
