"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","45045","Login, send message with image, and verify in inbox","","Wed Apr 15 08:52:08 UTC 2026","passed","Wed Apr 15 08:52:53 UTC 2026","","SMSPy UI End-to-End Flows","Login, send message with image, and verify in inbox",""
"","47313","Login and send simple text message","","Wed Apr 15 08:52:08 UTC 2026","passed","Wed Apr 15 08:52:55 UTC 2026","","SMSPy UI End-to-End Flows","Login and send simple text message",""
"","144766","Login with all live users from database","","Wed Apr 15 08:49:39 UTC 2026","passed","Wed Apr 15 08:52:04 UTC 2026","","Real App API Authentication","Login with all live users from database",""
"","30261","Update profile avatar via UI","","Wed Apr 15 08:52:08 UTC 2026","passed","Wed Apr 15 08:52:38 UTC 2026","","SMSPy UI End-to-End Flows","Update profile avatar via UI",""
