"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","36784","Update profile avatar via UI","","Fri Apr 24 09:08:32 UTC 2026","passed","Fri Apr 24 09:09:09 UTC 2026","","SMSPy UI End-to-End Flows","Update profile avatar via UI",""
"","48928","Login, send message with image, and verify in inbox","","Fri Apr 24 09:08:32 UTC 2026","passed","Fri Apr 24 09:09:21 UTC 2026","","SMSPy UI End-to-End Flows","Login, send message with image, and verify in inbox",""
"","54314","Login and send simple text message","","Fri Apr 24 09:08:32 UTC 2026","passed","Fri Apr 24 09:09:26 UTC 2026","","SMSPy UI End-to-End Flows","Login and send simple text message",""
"","177952","Login with all live users from database","","Fri Apr 24 09:05:29 UTC 2026","passed","Fri Apr 24 09:08:27 UTC 2026","","Real App API Authentication","Login with all live users from database",""
